uri, type, function, type2, path2, tag
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:masked_mean, function, mask.sum, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: mask:sum
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:set_requires_grad, function, model.parameters, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: model:parameters
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:eval_decorator, function, inner, , , inner
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:eval_decorator, function, model.eval, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: model:eval
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:eval_decorator, function, fn, , , fn
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:eval_decorator, function, model.train, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: model:train
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:top_k, function, max, , , max
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:top_k, function, torch.topk, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: torch:topk
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:top_k, function, torch.full_like, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: torch:full_like
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:top_k, function, float, , , float
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:top_k, function, probs.scatter_, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: probs:scatter_
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:default, function, exists, , , exists
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:is_empty, function, t.nelement, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: t:nelement
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:masked_mean, function, t.masked_fill, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: t:masked_fill
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:masked_mean, function, t.sum, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: t:sum
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:masked_mean, function, mask.sum, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: mask:sum
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:set_requires_grad, function, model.parameters, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: model:parameters
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:eval_decorator, function, inner, , , inner
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:eval_decorator, function, model.eval, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: model:eval
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:eval_decorator, function, fn, , , fn
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:eval_decorator, function, model.train, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: model:train
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:top_k, function, max, , , max
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:top_k, function, torch.topk, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: torch:topk
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:top_k, function, torch.full_like, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: torch:full_like
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:top_k, function, float, , , float
DALLE-pytorch/dalle_pytorch/dalle_pytorch.py:top_k, function, probs.scatter_, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: probs:scatter_
DALLE-pytorch/dalle_pytorch/distributed_utils.py:wrap_arg_parser, function, parser.add_argument, [CLASS] [STDLIB], , [CLASS] [STDLIB]: parser:add_argument
DALLE-pytorch/dalle_pytorch/distributed_utils.py:wrap_arg_parser, function, distr_backend.wrap_arg_parser, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: distr_backend:wrap_arg_parser
DALLE-pytorch/dalle_pytorch/distributed_utils.py:set_backend_from_args, function, backend.has_backend, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: backend:has_backend
DALLE-pytorch/dalle_pytorch/distributed_utils.py:set_backend_from_args, function, ModuleNotFoundError, , , ModuleNotFoundError
DALLE-pytorch/dalle_pytorch/distributed_utils.py:set_backend_from_args, function, print, , , print
DALLE-pytorch/dalle_pytorch/distributed_utils.py:set_backend_from_args, function, ValueError, , , ValueError
DALLE-pytorch/dalle_pytorch/distributed_utils.py:using_backend, function, require_set_backend, , , require_set_backend
DALLE-pytorch/dalle_pytorch/distributed_utils.py:using_backend, function, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
DALLE-pytorch/dalle_pytorch/distributed_utils.py:wrap_arg_parser, function, parser.add_argument, [CLASS] [STDLIB], , [CLASS] [STDLIB]: parser:add_argument
DALLE-pytorch/dalle_pytorch/distributed_utils.py:wrap_arg_parser, function, distr_backend.wrap_arg_parser, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: distr_backend:wrap_arg_parser
